id;ccc;fce;dec;compat;name
00A0;0;0;;0020;NO-BREAK SPACE
00A8;0;0;;0020 0308;DIAERESIS
00AA;0;0;;0061;FEMININE ORDINAL INDICATOR
00AF;0;0;;0020 0304;MACRON
00B2;0;0;;0032;SUPERSCRIPT TWO
00B3;0;0;;0033;SUPERSCRIPT THREE
00B4;0;0;;0020 0301;ACUTE ACCENT
00B5;0;0;;03BC;MICRO SIGN
00B8;0;0;;0020 0327;CEDILLA
00B9;0;0;;0031;SUPERSCRIPT ONE
00BA;0;0;;006F;MASCULINE ORDINAL INDICATOR
00BC;0;0;;0031 2044 0034;VULGAR FRACTION ONE QUARTER
00BD;0;0;;0031 2044 0032;VULGAR FRACTION ONE HALF
00BE;0;0;;0033 2044 0034;VULGAR FRACTION THREE QUARTERS
00C0;0;0;0041 0300;;LATIN CAPITAL LETTER A WITH GRAVE
00C1;0;0;0041 0301;;LATIN CAPITAL LETTER A WITH ACUTE
00C2;0;0;0041 0302;;LATIN CAPITAL LETTER A WITH CIRCUMFLEX
00C3;0;0;0041 0303;;LATIN CAPITAL LETTER A WITH TILDE
00C4;0;0;0041 0308;;LATIN CAPITAL LETTER A WITH DIAERESIS
00C5;0;0;0041 030A;;LATIN CAPITAL LETTER A WITH RING ABOVE
00C7;0;0;0043 0327;;LATIN CAPITAL LETTER C WITH CEDILLA
00C8;0;0;0045 0300;;LATIN CAPITAL LETTER E WITH GRAVE
00C9;0;0;0045 0301;;LATIN CAPITAL LETTER E WITH ACUTE
00CA;0;0;0045 0302;;LATIN CAPITAL LETTER E WITH CIRCUMFLEX
00CB;0;0;0045 0308;;LATIN CAPITAL LETTER E WITH DIAERESIS
00CC;0;0;0049 0300;;LATIN CAPITAL LETTER I WITH GRAVE
00CD;0;0;0049 0301;;LATIN CAPITAL LETTER I WITH ACUTE
00CE;0;0;0049 0302;;LATIN CAPITAL LETTER I WITH CIRCUMFLEX
00CF;0;0;0049 0308;;LATIN CAPITAL LETTER I WITH DIAERESIS
00D1;0;0;004E 0303;;LATIN CAPITAL LETTER N WITH TILDE
00D2;0;0;004F 0300;;LATIN CAPITAL LETTER O WITH GRAVE
00D3;0;0;004F 0301;;LATIN CAPITAL LETTER O WITH ACUTE
